hideall "--Reset--"
hideall "--sync--"

# Base timeline pulled from FFLogs enrage pull
# TODO: Clean up, test, fix any issues, document other IDs, etc

0.0 "--Reset--" ActorControl { command: "4000000F" } window 0,100000 jump 0
1063.7 "Aetherblight" Ability { id: "AE40", source: "Necron" }
1065.6 "Aetherblight" Ability { id: "AE13", source: "Necron" }
1066.6 "Aetherblight" Ability { id: "B081", source: "Necron" }
1066.7 "Shockwave" Ability { id: "AE10", source: "Necron" }
1077.5 "Circle of Lives" Ability { id: "AE37", source: "Necron" }
1087.6 "Circle of Lives" Ability { id: "AE38", source: "Azure Aether" }
1088.2 "Specter of Death" Ability { id: "AE3E", source: "Necron" }
1092.6 "Circle of Lives" Ability { id: "AE38", source: "Azure Aether" }
1097.6 "Circle of Lives" Ability { id: "AE38", source: "Azure Aether" }
1098.8 "Soul Reaping" Ability { id: "AE0C", source: "Necron" }
1102.7 "Circle of Lives" Ability { id: "AE38", source: "Azure Aether" }
1107.7 "Circle of Lives" Ability { id: "AE38", source: "Azure Aether" }
1113.0 "Fourfold Blight" Ability { id: "AE0E", source: "Necron" }
1113.2 "Aetherblight" Ability { id: "AE3F", source: "Necron" }
1114.2 "Aetherblight" Ability { id: "AE40", source: "Necron" }
1114.3 "Shockwave" Ability { id: "AE10", source: "Necron" }
1126.1 "Mass Macabre" Ability { id: "AE33", source: "Necron" }
1128.5 "Macabre Mark" Ability { id: "AF13", source: "Necron" }
1133.2 "Memento Mori" Ability { id: "AE15", source: "Necron" }
1134.4 "Macabre Mark" #Ability { id: "AF13", source: "Necron" }
1134.7 "Macabre Mark" #Ability { id: "AF13", source: "Necron" }
1135.0 "Macabre Mark" #Ability { id: "AF13", source: "Necron" }
1139.3 "Choking Grasp" Ability { id: "AE17", source: "Icy Hands" }
1143.6 "Macabre Mark" #Ability { id: "AF13", source: "Necron" }
1143.6 "Blue Shockwave" Ability { id: "AE30", source: "Necron" }
1144.2 "Macabre Mark" #Ability { id: "AF13", source: "Necron" }
1144.8 "Blue Shockwave" Ability { id: "AE31", source: "Necron" }
1147.8 "Blue Shockwave" Ability { id: "AE32", source: "Necron" }
1148.9 "Blue Shockwave" Ability { id: "AE31", source: "Necron" }
1149.6 "Macabre Mark" Ability { id: "AF13", source: "Necron" }
1152.3 "Spreading Fear" Ability { id: "AE34", source: "Icy Hands" }
1155.0 "Cold Grip" Ability { id: "AE09", source: "Necron" }
1156.0 "Cold Grip" Ability { id: "AE44", source: "Necron" }
1157.7 "Existential Dread" Ability { id: "AE0B", source: "Necron" }
1178.3 "Relentless Reaping" Ability { id: "AE14", source: "Necron" }
1184.4 "Crop Rotation" Ability { id: "AE42", source: "Necron" }
1195.5 "The Second Season" Ability { id: "B06F", source: "Necron" }
1195.7 "Aetherblight" Ability { id: "AE13", source: "Necron" }
1196.7 "Aetherblight" Ability { id: "B081", source: "Necron" }
1198.6 "Aetherblight" Ability { id: "AE11", source: "Necron" }
1199.6 "Aetherblight" Ability { id: "B07F", source: "Necron" }
1201.5 "Aetherblight" Ability { id: "AE12", source: "Necron" }
1202.5 "Aetherblight" Ability { id: "B080", source: "Necron" }
1204.4 "Aetherblight" Ability { id: "AE3F", source: "Necron" }
1205.4 "Aetherblight" Ability { id: "AE40", source: "Necron" }
1205.5 "Shockwave" Ability { id: "AE0F", source: "Necron" }
1212.2 "Fear of Death" Ability { id: "AE06", source: "Necron" }
1215.2 "Fear of Death" Ability { id: "AE07", source: "Necron" }
1218.0 "Choking Grasp" #Ability { id: "AE08", source: "Icy Hands" }
1218.0 "Choking Grasp" #Ability { id: "AE08", source: "Icy Hands" }
1223.2 "Circle of Lives" Ability { id: "AE37", source: "Necron" }
1231.3 "Specter of Death" Ability { id: "AE3E", source: "Necron" }
1233.3 "Circle of Lives" Ability { id: "AE38", source: "Azure Aether" }
1238.3 "Circle of Lives" Ability { id: "AE38", source: "Azure Aether" }
1241.1 "Specter of Death" Ability { id: "AE3E", source: "Necron" }
1243.3 "Circle of Lives" Ability { id: "AE38", source: "Azure Aether" }
1248.3 "Circle of Lives" Ability { id: "AE38", source: "Azure Aether" }
1255.6 "Memento Mori" Ability { id: "AE16", source: "Necron" }
1261.8 "Choking Grasp" Ability { id: "AE17", source: "Icy Hands" }
1262.7 "Smite of Gloom" Ability { id: "AE39", source: "Necron" }
1262.7 "Smite of Gloom" Ability { id: "AE3A", source: "Necron" }
1269.8 "Cold Grip" Ability { id: "AE0A", source: "Necron" }
1270.8 "Cold Grip" Ability { id: "AE44", source: "Necron" }
1272.5 "Existential Dread" Ability { id: "AE0B", source: "Necron" }
1284.2 "Grand Cross" Ability { id: "AE18", source: "Necron" }
1284.2 "--sync--" Ability { id: "AE3C", source: "Necron" }
1292.3 "Grand Cross" #Ability { id: "AE1B", source: "Necron" }
1294.3 "Grand Cross" #Ability { id: "AE1B", source: "Necron" }
1294.7 "Grand Cross" #Ability { id: "AE19", source: "Azure Aether" }
1296.7 "Grand Cross" #Ability { id: "AE19", source: "Azure Aether" }
1298.3 "Shock" Ability { id: "AE1D", source: "Necron" }
1298.3 "Grand Cross" Ability { id: "AE1C", source: "Necron" }
1301.4 "Grand Cross" Ability { id: "AE19", source: "Azure Aether" }
1305.4 "Grand Cross" Ability { id: "AE19", source: "Azure Aether" }
1308.2 "Grand Cross" Ability { id: "AE19", source: "Azure Aether" }
1309.4 "Shock" Ability { id: "AE1D", source: "Necron" }
1309.4 "Grand Cross" Ability { id: "AE1C", source: "Necron" }
1309.4 "Shock" Ability { id: "AE1D", source: "Necron" }
1309.4 "Grand Cross" Ability { id: "AE1C", source: "Necron" }
1311.4 "Electrify" Ability { id: "AE1E", source: "Necron" }
1316.4 "Grand Cross" #Ability { id: "AE1B", source: "Necron" }
1318.1 "Grand Cross" Ability { id: "AE1A", source: "Azure Aether" }
1318.4 "Grand Cross" #Ability { id: "AE1B", source: "Necron" }
1328.3 "Neutron Ring" Ability { id: "AE1F", source: "Necron" }
1331.0 "Neutron Ring" Ability { id: "AE20", source: "Necron" }
1350.6 "Darkness of Eternity" Ability { id: "AE45", source: "Necron" }


# ALL ENCOUNTER ABILITIES
# AE06 Fear of Death
# AE07 Fear of Death
# AE08 Choking Grasp
# AE09 Cold Grip
# AE0A Cold Grip
# AE0B Existential Dread
# AE0C Soul Reaping
# AE0E Fourfold Blight
# AE0F Shockwave
# AE10 Shockwave
# AE11 Aetherblight
# AE12 Aetherblight
# AE13 Aetherblight
# AE14 Relentless Reaping
# AE15 Memento Mori
# AE16 Memento Mori
# AE17 Choking Grasp
# AE18 Grand Cross
# AE19 Grand Cross
# AE1A Grand Cross
# AE1B Grand Cross
# AE1C Grand Cross
# AE1D Shock
# AE1E Electrify
# AE1F Neutron Ring
# AE20 Neutron Ring
# AE21 Fear of Death
# AE22 Muted Struggle
# AE23 Choking Grasp
# AE24 Darkness of Eternity
# AE25 Darkness of Eternity
# AE27 Inevitability
# AE28 Choking Grasp
# AE30 Blue Shockwave
# AE31 Blue Shockwave
# AE32 Blue Shockwave
# AE33 Mass Macabre
# AE34 Spreading Fear
# AE35 The End's Embrace
# AE36 The End's Embrace
# AE37 Circle of Lives
# AE38 Circle of Lives
# AE39 Smite of Gloom
# AE3A Smite of Gloom
# AE3C --sync--
# AE3E Specter of Death
# AE3F Aetherblight
# AE40 Aetherblight
# AE42 Crop Rotation
# AE44 Cold Grip
# AE45 Darkness of Eternity
# AE47 Attack
# AF13 Macabre Mark
# B06F The Second Season
# B070 The Fourth Season
# B07F Aetherblight
# B080 Aetherblight
# B081 Aetherblight
