### AAC HEAVYWEIGHT M1 (SAVAGE)
# ZoneId: 1321

hideall "--Reset--"
hideall "--sync--"

0.0 "--Reset--" ActorControl { command: "4000000F" } window 0,100000 jump 0
363.1 "Crowd Kill" Ability { id: "B33E", source: "Vamp Fatale" }
371.0 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
374.1 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
377.0 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
386.2 "Finale Fatale" Ability { id: ["B340", "B341"], source: "Vamp Fatale" }
389.3 "--sync--" Ability { id: "B7C8", source: "Vamp Fatale" }
392.3 "Pulping Pulse" Ability { id: "B373", source: "Vamp Fatale" }
392.3 "--sync--" Ability { id: "B7C8", source: "Vamp Fatale" }
397.2 "Hell in a Cell" Ability { id: "B395", source: "Vamp Fatale" }
398.5 "Bloody Bondage" #Ability { id: "B396", source: "Vamp Fatale" }
405.8 "Sonic" Ability { id: ["B39C", "B39D"], source: "Vamp Fatale" }
413.0 "Sonic" Ability { id: ["B39C", "B39D"], source: "Vamp Fatale" }
420.0 "Hell in a Cell" Ability { id: "B395", source: "Vamp Fatale" }
421.2 "Bloody Bondage" #Ability { id: "B396", source: "Vamp Fatale" }
428.4 "Sonic" Ability { id: ["B39C", "B39D"], source: "Vamp Fatale" }
435.7 "Sonic" Ability { id: ["B39C", "B39D"], source: "Vamp Fatale" }
438.3 "--sync--" Ability { id: "B7C8", source: "Vamp Fatale" }
441.3 "--sync--" Ability { id: "B7C8", source: "Vamp Fatale" }
441.5 "Pulping Pulse" Ability { id: "B373", source: "Vamp Fatale" }
444.2 "--sync--" Ability { id: "B7C8", source: "Vamp Fatale" }
445.4 "Pulping Pulse" Ability { id: "B373", source: "Vamp Fatale" }
450.4 "Undead Deathmatch" Ability { id: "B3A0", source: "Vamp Fatale" }
451.6 "Bloody Bondage" #Ability { id: "B3A1", source: "Vamp Fatale" }
453.6 "--sync--" Ability { id: "B7C8", source: "Vamp Fatale" }
457.9 "Sanguine Scratch" Duration 10 #Ability { id: "B3A4", source: "Vamp Fatale" }
461.2 "Explosion" Ability { id: "B3A3", source: "Vamp Fatale" }
470.1 "--sync--" Ability { id: "B7C8", source: "Vamp Fatale" }
470.8 "Explosion" Ability { id: "B3A3", source: "Vamp Fatale" }
471.5 "Breakwing Beat" #Ability { id: ["B3A9", "B3AB"], source: "Vampette Fatale" }
473.1 "--sync--" Ability { id: "B7C8", source: "Vamp Fatale" }
476.4 "Sanguine Scratch" Duration 10 #Ability { id: "B3A4", source: "Vamp Fatale" }
488.4 "--sync--" Ability { id: "B7C8", source: "Vamp Fatale" }
489.6 "Breakwing Beat" #Ability { id: "B3AB", source: "Vampette Fatale" }
495.2 "Brutal Rain" Ability { id: "B35D", source: "Vamp Fatale" }
501.4 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
504.4 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
508.5 "Vamp Stomp" Ability { id: "B34A", source: "Vamp Fatale" }
511.5 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
513.2 "Blast Beat" #Ability { id: "B376", source: "Vamp Fatale" }
514.5 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
515.2 "Blast Beat" #Ability { id: "B376", source: "Vamp Fatale" }
517.2 "Blast Beat" #Ability { id: "B376", source: "Vamp Fatale" }
517.6 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
517.6 "Blast Beat" #Ability { id: "B376", source: "Vamp Fatale" }
518.4 "Blast Beat" #Ability { id: "B376", source: "Vamp Fatale" }
524.6 "Half Moon" Ability { id: "B351", source: "Vamp Fatale" }
533.5 "Hardcore" Ability { id: "B35A", source: "Vamp Fatale" }
537.5 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
540.5 "Pulping Pulse" Ability { id: "B373", source: "Vamp Fatale" }
540.5 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
546.9 "Sanguine Scratch" Duration 10 #Ability { id: "B3A4", source: "Vamp Fatale" }
558.8 "--sync--" Ability { id: "BBA7", source: "Vamp Fatale" }
564.7 "Insatiable Thirst" Ability { id: "B344", source: "Vamp Fatale" }
